Rank,Team,Probability,Wins
1,Spain,15.32,766
2,Argentina,12.72,636
3,France,11.34,567
4,Netherlands,7.32,366
5,England,7.06,353
6,Colombia,6.5,325
7,Brazil,6.239999999999999,312
8,Germany,4.32,216
9,Portugal,3.52,176
10,Morocco,3.26,163
11,Senegal,3.02,151
12,Uruguay,3.02,151
13,Belgium,2.5,125
14,Switzerland,2.0,100
15,Japan,1.96,98
16,Croatia,1.72,86
17,Iran,1.5599999999999998,78
18,Ivory Coast,0.74,37
19,Egypt,0.7000000000000001,35
20,Australia,0.6799999999999999,34
21,Austria,0.64,32
22,Sweden,0.6,30
23,South Korea,0.45999999999999996,23
24,Turkey,0.42,21
25,Ecuador,0.36,18
26,Czech Republic,0.32,16
27,United States,0.26,13
28,Algeria,0.26,13
29,Qatar,0.2,10
30,Mexico,0.18,9
31,Norway,0.12,6
32,DR Congo,0.12,6
33,Tunisia,0.12,6
34,Jordan,0.1,5
35,Iraq,0.08,4
36,Ghana,0.06,3
37,South Africa,0.06,3
38,Cape Verde,0.06,3
39,Scotland,0.04,2
40,Uzbekistan,0.04,2
41,Bosnia and Herzegovina,0.0,0
42,Canada,0.0,0
43,Saudi Arabia,0.0,0
44,Paraguay,0.0,0
45,Panama,0.0,0
46,Haiti,0.0,0
47,New Zealand,0.0,0
48,Curaçao,0.0,0
