Team,Elo
Spain,1777.4
Argentina,1758.3
France,1738.6
Netherlands,1710.3
Brazil,1686.7
England,1680.1
Colombia,1665.7
Germany,1648.4
Senegal,1643.2
Uruguay,1634.5
Portugal,1633.2
Morocco,1630.1
Belgium,1617.2
Switzerland,1603.3
Croatia,1599.1
Japan,1598.9
Sweden,1597.6
Ivory Coast,1595.9
Egypt,1585.1
Iran,1566.9
Jordan,1564.7
Austria,1562.5
Algeria,1553.7
Uzbekistan,1552.1
Cape Verde,1546.1
Norway,1544.2
Iraq,1541.1
South Korea,1537.1
Australia,1530.3
DR Congo,1529.6
Tunisia,1528.9
Turkey,1525.5
Curaçao,1520.9
South Africa,1519.5
Ghana,1518.6
Czech Republic,1516.3
Ecuador,1515.0
Bosnia and Herzegovina,1514.0
Mexico,1509.0
Qatar,1502.0
Saudi Arabia,1496.6
New Zealand,1493.6
Paraguay,1488.4
Panama,1467.9
United States,1463.2
Haiti,1453.6
Scotland,1450.2
Canada,1449.7
