Group,Team,Elo,Champion_Prob,1st_Place_Prob,2nd_Place_Prob,3rd_Place_Prob,4th_Place_Prob,Advance_Prob,Confederation
A,Mexico,1509.0,0.18,25.5,26.5,22.7,25.3,10.4,Hosts (3)
A,South Africa,1519.5,0.06,19.2,23.7,22.9,34.2,8.6,CAF - Africa (10)
A,South Korea,1537.1,0.46,32.3,25.7,24.7,17.3,11.6,AFC - Asia (9)
A,Czech Republic,1516.3,0.32,23.0,24.1,29.7,23.2,9.4,UEFA - Europe (13)
B,Canada,1449.7,0.0,14.0,21.7,23.5,40.8,7.1,Hosts (3)
B,Bosnia and Herzegovina,1514.0,0.0,19.1,25.0,24.8,31.1,8.8,UEFA - Europe (13)
B,Qatar,1502.0,0.2,22.2,32.0,26.8,19.0,10.8,AFC - Asia (9)
B,Switzerland,1603.3,2.0,44.7,21.3,24.9,9.1,13.2,UEFA - Europe (13)
C,Brazil,1686.7,6.24,44.7,29.7,18.4,7.2,14.9,CONMEBOL - South America (6)
C,Morocco,1630.1,3.26,34.7,36.9,18.8,9.6,14.3,CAF - Africa (10)
C,Haiti,1453.6,0.0,7.1,12.1,25.7,55.1,3.8,CONCACAF (6)
C,Scotland,1450.2,0.04,13.5,21.3,37.1,28.1,7.0,UEFA - Europe (13)
D,United States,1463.2,0.26,22.4,22.4,25.9,29.3,9.0,Hosts (3)
D,Paraguay,1488.4,0.0,16.8,21.2,23.0,39.0,7.6,CONMEBOL - South America (6)
D,Australia,1530.3,0.68,33.5,27.6,24.5,14.4,12.2,AFC - Asia (9)
D,Turkey,1525.5,0.42,27.3,28.8,26.6,17.3,11.2,UEFA - Europe (13)
E,Germany,1648.4,4.32,45.4,23.1,23.0,8.5,13.7,UEFA - Europe (13)
E,Curaçao,1520.9,0.0,10.5,16.5,22.0,51.0,5.4,CONCACAF (6)
E,Ivory Coast,1595.9,0.74,23.2,31.2,25.3,20.3,10.9,CAF - Africa (10)
E,Ecuador,1515.0,0.36,20.9,29.2,29.7,20.2,10.0,CONMEBOL - South America (6)
F,Netherlands,1710.3,7.32,38.4,25.2,25.2,11.2,12.7,UEFA - Europe (13)
F,Japan,1598.9,1.96,26.7,29.2,25.0,19.1,11.2,AFC - Asia (9)
F,Sweden,1597.6,0.6,21.8,25.5,26.8,25.9,9.5,UEFA - Europe (13)
F,Tunisia,1528.9,0.12,13.1,20.1,23.0,43.8,6.6,CAF - Africa (10)
G,Belgium,1617.2,2.5,36.2,27.6,26.7,9.5,12.8,UEFA - Europe (13)
G,Egypt,1585.1,0.7,26.8,30.4,31.1,11.7,11.4,CAF - Africa (10)
G,Iran,1566.9,1.56,30.7,29.8,29.4,10.1,12.1,AFC - Asia (9)
G,New Zealand,1493.6,0.0,6.3,12.2,12.8,68.7,3.7,OFC - Oceania (1)
H,Spain,1777.4,15.32,51.1,18.8,24.1,6.0,14.0,UEFA - Europe (13)
H,Cape Verde,1546.1,0.06,12.1,23.4,30.5,34.0,7.1,CAF - Africa (10)
H,Saudi Arabia,1496.6,0.0,11.8,17.9,24.3,46.0,5.9,AFC - Asia (9)
H,Uruguay,1634.5,3.02,25.0,39.9,21.1,14.0,13.0,CONMEBOL - South America (6)
I,France,1738.6,11.34,43.0,25.1,24.0,7.9,13.6,UEFA - Europe (13)
I,Senegal,1643.2,3.02,31.3,30.6,24.7,13.4,12.4,CAF - Africa (10)
I,Iraq,1541.1,0.08,11.9,19.9,23.3,44.9,6.4,AFC - Asia (9)
I,Norway,1544.2,0.12,13.8,24.4,28.0,33.8,7.6,UEFA - Europe (13)
J,Argentina,1758.3,12.72,50.8,18.7,22.7,7.8,13.9,CONMEBOL - South America (6)
J,Algeria,1553.7,0.26,17.3,28.6,27.0,27.1,9.2,CAF - Africa (10)
J,Austria,1562.5,0.64,19.8,32.0,27.4,20.8,10.4,UEFA - Europe (13)
J,Jordan,1564.7,0.1,12.1,20.7,22.9,44.3,6.6,AFC - Asia (9)
K,Portugal,1633.2,3.52,34.7,30.5,22.6,12.2,13.0,UEFA - Europe (13)
K,DR Congo,1529.6,0.12,13.4,20.7,30.4,35.5,6.8,CAF - Africa (10)
K,Uzbekistan,1552.1,0.04,12.1,20.0,24.7,43.2,6.4,AFC - Asia (9)
K,Colombia,1665.7,6.5,39.8,28.8,22.3,9.1,13.7,CONMEBOL - South America (6)
L,England,1680.1,7.06,43.4,24.7,22.7,9.2,13.6,UEFA - Europe (13)
L,Croatia,1599.1,1.72,33.9,31.7,22.1,12.3,13.1,UEFA - Europe (13)
L,Ghana,1518.6,0.06,12.4,25.4,31.6,30.6,7.6,CAF - Africa (10)
L,Panama,1467.9,0.0,10.3,18.2,23.6,47.9,5.7,CONCACAF (6)
