Team,Elo,FIFA_Rank,Champion_Prob,Best_Stage,Confederation
Spain,1777.4,3,15.32,Champion,UEFA - Europe (13)
Argentina,1758.3,1,12.72,Champion,CONMEBOL - South America (6)
France,1738.6,2,11.34,Champion,UEFA - Europe (13)
Netherlands,1710.3,8,7.32,Champion,UEFA - Europe (13)
Brazil,1686.7,5,6.24,Champion,CONMEBOL - South America (6)
England,1680.1,4,7.06,Champion,UEFA - Europe (13)
Colombia,1665.7,14,6.5,Champion,CONMEBOL - South America (6)
Germany,1648.4,9,4.32,Champion,UEFA - Europe (13)
Senegal,1643.2,18,3.02,Champion,CAF - Africa (10)
Uruguay,1634.5,17,3.02,Champion,CONMEBOL - South America (6)
Portugal,1633.2,6,3.52,Champion,UEFA - Europe (13)
Morocco,1630.1,12,3.26,Champion,CAF - Africa (10)
Belgium,1617.2,7,2.5,Champion,UEFA - Europe (13)
Switzerland,1603.3,19,2.0,Champion,UEFA - Europe (13)
Croatia,1599.1,10,1.72,Champion,UEFA - Europe (13)
Japan,1598.9,16,1.96,Champion,AFC - Asia (9)
Sweden,1597.6,29,0.6,Champion,UEFA - Europe (13)
Ivory Coast,1595.9,42,0.74,Champion,CAF - Africa (10)
Egypt,1585.1,36,0.7,Champion,CAF - Africa (10)
Iran,1566.9,21,1.56,Champion,AFC - Asia (9)
Jordan,1564.7,68,0.1,Champion,AFC - Asia (9)
Austria,1562.5,24,0.64,Champion,UEFA - Europe (13)
Algeria,1553.7,35,0.26,Champion,CAF - Africa (10)
Uzbekistan,1552.1,80,0.04,Champion,AFC - Asia (9)
Cape Verde,1546.1,70,0.06,Champion,CAF - Africa (10)
Norway,1544.2,30,0.12,Champion,UEFA - Europe (13)
Iraq,1541.1,75,0.08,Champion,AFC - Asia (9)
South Korea,1537.1,22,0.46,Champion,AFC - Asia (9)
Australia,1530.3,23,0.68,Champion,AFC - Asia (9)
DR Congo,1529.6,58,0.12,Champion,CAF - Africa (10)
Tunisia,1528.9,45,0.12,Champion,CAF - Africa (10)
Turkey,1525.5,28,0.42,Champion,UEFA - Europe (13)
Curaçao,1520.9,100,0.0,Semi-Final,CONCACAF (6)
South Africa,1519.5,65,0.06,Champion,CAF - Africa (10)
Ghana,1518.6,60,0.06,Champion,CAF - Africa (10)
Czech Republic,1516.3,36,0.32,Champion,UEFA - Europe (13)
Ecuador,1515.0,25,0.36,Champion,CONMEBOL - South America (6)
Bosnia and Herzegovina,1514.0,62,0.0,Finalist,UEFA - Europe (13)
Mexico,1509.0,15,0.18,Champion,Hosts (3)
Qatar,1502.0,37,0.2,Champion,AFC - Asia (9)
Saudi Arabia,1496.6,56,0.0,Finalist,AFC - Asia (9)
New Zealand,1493.6,90,0.0,Semi-Final,OFC - Oceania (1)
Paraguay,1488.4,55,0.0,Finalist,CONMEBOL - South America (6)
Panama,1467.9,85,0.0,Finalist,CONCACAF (6)
United States,1463.2,13,0.26,Champion,Hosts (3)
Haiti,1453.6,95,0.0,Finalist,CONCACAF (6)
Scotland,1450.2,38,0.04,Champion,UEFA - Europe (13)
Canada,1449.7,40,0.0,Finalist,Hosts (3)
